,ar_1_h_1
2016-01-31,0.38340277936421696
2016-02-29,0.46617974637599424
2016-03-31,-0.025175631998353154
2016-04-30,0.2466603164660075
2016-05-31,-0.15895160572686473
2016-06-30,0.04002162311897983
2016-07-31,0.1700756803200809
2016-08-31,0.46278674811865983
2016-09-30,0.3750201614087123
2016-10-31,0.6571694666391181
2016-11-30,0.7716622269294815
2016-12-31,0.8779176952939505
2017-01-31,1.6159499228201701
2017-02-28,1.8178054157990564
2017-03-31,2.1624023091780575
2017-04-30,1.6261523374122788
2017-05-31,1.8989352309167762
2017-06-30,1.4364552792537566
2017-07-31,1.6588848322547145
2017-08-31,1.636185799639156
2017-09-30,1.850911796451049
2017-10-31,1.8564684280673038
2017-11-30,1.521560820824508
2017-12-31,1.7180130962390905
2018-01-31,1.5659421648189342
2018-02-28,1.4262149567347837
2018-03-31,1.226937247070281
2018-04-30,1.5488052423087373
2018-05-31,1.3654911991941132
2018-06-30,2.2000423810483394
2018-07-31,1.97798627610013
2018-08-31,2.1301746608398453
2018-09-30,1.97564038647855
2018-10-31,2.209030719941918
2018-11-30,2.5077544279022757
2018-12-31,2.138332778426544
2019-01-31,1.634447700011088
2019-02-28,1.7393452920770658
2019-03-31,1.6432297829984677
2019-04-30,1.4948510867321518
2019-05-31,2.0758652269428746
2019-06-30,1.4300028824510091
2019-07-31,1.5783191647990913
2019-08-31,1.352763930156442
2019-09-30,1.1867793770854451
2019-10-31,1.0440722966489124
2019-11-30,0.9060319490880042
2019-12-31,1.086269424885744
2020-01-31,1.5508153689915316
2020-02-29,1.7352977437141925
2020-03-31,1.6259416590115539
2020-04-30,1.3473653666158603
2020-05-31,0.8024671063658451
2020-06-30,0.5794231692356044
2020-07-31,0.8597399428594832
2020-08-31,0.08524865353263245
2020-09-30,0.02040746739402355
2020-10-31,-0.22007727718537096
2020-11-30,-0.2245966424767598
2020-12-31,-0.480867869617585
2021-01-31,-0.37188066272613174
2021-02-28,1.4647600291896712
2021-03-31,1.5072049444639024
2021-04-30,1.8541273504895095
2021-05-31,1.914861948394897
2021-06-30,2.2060549735194
2021-07-31,1.9118389166667749
2021-08-31,3.0163401757811847
2021-09-30,3.4009891667073244
2021-10-31,3.7658223064780394
2021-11-30,4.484859515250239
2021-12-31,5.424100579769675
2022-01-31,5.310056742716296
2022-02-28,4.798146362083844
2022-03-31,5.078230350052748
2022-04-30,7.157013499867548
2022-05-31,7.398901406242042
2022-06-30,8.063820603752237
2022-07-31,7.889317843321941
2022-08-31,8.025836398424069
2022-09-30,8.257302019351197
2022-10-31,10.387207419111055
2022-11-30,10.740210231495585
2022-12-31,10.249499699704522
