prc_energy_h_1,prc_energy_h_2,prc_energy_h_3,ridge_energy_h_1,ridge_energy_h_2,ridge_energy_h_3,lasso_energy_h_1,lasso_energy_h_2,lasso_energy_h_3,xgb_energy_h_1,xgb_energy_h_2,xgb_energy_h_3,cb_ridge_lasso_energy_h_1,cb_ridge_lasso_energy_h_2,cb_ridge_lasso_energy_h_3,cb_ridge_pcr_energy_h_1,cb_ridge_pcr_energy_h_2,cb_ridge_pcr_energy_h_3,cb_ridge_prc_lasso_energy_h_1,cb_ridge_prc_lasso_energy_h_2,cb_ridge_prc_lasso_energy_h_3,ar_1_energy_h_1,ar_1_energy_h_2,ar_1_energy_h_3,xgb_pca_energy_h_1,xgb_pca_energy_h_2,xgb_pca_energy_h_3
-0.7833854986622759,-2.26378247740511,-4.282583850535984,-0.7909589832961131,-2.678135932313145,-6.050794751970563,-0.9274918768641608,-2.9936889945116376,-5.652402862302296,0.6016047,-3.1722522,-3.3135397,-0.859225430080137,-2.8359124634123916,-5.85159880713643,-0.7909589832961131,-2.678135932313145,-6.050794751970563,-0.83394545294085,-2.645202468076631,-5.328593821602947,-1.1881405587430036,-2.7779545926211777,-4.322825944295903,0.21640635,-2.8607264,-2.5904775
-2.1106958764518735,-0.61071910965663,-2.060381741008052,-2.116630821795232,-0.5049633478562201,-2.3592169392575393,-2.311473592560684,-0.729996156729234,-2.446271702238998,-1.6863153,-0.34791115,-3.2713058,-2.214052207177958,-0.6174797522927271,-2.4027443207482686,-2.116630821795232,-0.5049633478562201,-2.3592169392575393,-2.17960009693593,-0.6152262047473614,-2.288623460834863,-2.248447967759556,-0.9087939645515204,-2.4022006497435844,-1.8478973,-0.8020468,-1.7375015
2.6402213074847367,-2.512485134512805,-1.0566307311028489,3.495238943144589,-1.1988948643836066,0.2007902755630184,3.5051976711678714,-1.5449741561230284,-0.0614222984829494,4.328558,-2.3404582,0.40210527,3.5002183071562305,-1.3719345102533174,0.0696839885400344,3.495238943144589,-1.1988948643836066,0.2007902755630184,3.2135526405990653,-1.7521180516731467,-0.3057542513409266,2.44748125814117,-1.8990182001741516,-0.6536164234859972,5.023367,-1.6669111,1.2960694
9.00137569744165,4.529218036901839,-0.2652168515977529,8.688782819437517,4.0677484796968635,-0.2765577056713004,8.655531144238289,3.953258612757853,-0.7142772154463377,7.7652655,5.758975,-0.69368786,8.672156981837903,4.010503546227358,-0.4954174605588191,8.688782819437517,4.0677484796968635,-0.2765577056713004,8.781896553705819,4.183408376452185,-0.4186839242384637,5.759272198240535,2.4865240385323295,-1.579962962603866,6.530166,1.950219,-0.54740405
9.947959105088373,11.155689500511391,6.2980093494692175,10.278025429437642,9.492456640171651,4.779549596750971,10.107643517600064,9.229664431702943,4.674136639963347,8.079374,10.17198,3.1990955,10.192834473518854,9.361060535937298,4.726843118357159,10.278025429437642,9.492456640171651,4.779549596750971,10.111209350708693,9.959270190795328,5.250565195394512,6.944050002115253,5.579415424855419,2.5226753377267146,8.459507,8.435436,3.216353
7.305611317537663,11.875910729052084,12.403957607242996,6.999312991339741,11.009854973440982,10.021863875229249,6.6364206102457475,10.556717730010991,9.757656616854188,5.9752655,5.3689423,2.2273567,6.8178668007927445,10.783286351725987,9.889760246041718,6.999312991339741,11.009854973440982,10.021863875229249,6.980448306374384,11.147494477501354,10.727826033108812,5.047208770659281,6.685882931587882,5.416049513512624,6.1301003,4.6281943,2.096479
6.855998132804142,9.066018128158458,13.408710843410809,6.554510940477687,8.177570567465594,11.519740826873978,6.464238188087645,7.5214854388149135,11.04676512754757,5.597412,3.947538,4.550933,6.509374564282666,7.849528003140254,11.283252977210774,6.554510940477687,8.177570567465594,11.519740826873978,6.624915753789825,8.255024711479654,11.991738932610788,4.899514295982398,4.914417276869762,6.451140666238767,4.789725,5.167021,4.335237
2.48579127588745,7.401733355012892,9.92553387491854,2.403859868529963,7.26520548162036,8.30723900697579,2.326463676714458,7.16548307194685,7.684687394348974,4.334995,5.351512,3.5155802,2.3651617726222103,7.215344276783606,7.995963200662382,2.403859868529963,7.26520548162036,8.30723900697579,2.405371607043957,7.2774739695267,8.639153425414433,2.050438974010149,4.776484968702405,4.7939492752580355,4.155645,6.348514,3.6134644
1.156841359432368,3.4836669491480468,8.433444873189085,-0.1698827518049127,3.0196601354702244,7.248443043002609,-0.2135907500779974,2.9530264776588,7.177439459885225,0.44828248,2.9888644,7.743072,-0.191736750941455,2.986343306564512,7.212941251443917,-0.1698827518049127,3.0196601354702244,7.248443043002609,0.2577892858498193,3.152117854092357,7.61977579202564,0.0664657309562601,2.115725071204387,4.664914747817865,0.99297285,1.5664428,6.161192
2.0590475390523633,2.1531194831340903,4.635445374366805,0.7157759654312839,0.5848408950359648,3.1502631479946466,0.7807954489536917,0.4607394919700622,3.333567635604747,2.406923,2.2605865,2.7822018,0.7482857071924878,0.5227901935030135,3.241915391799697,0.7157759654312839,0.5848408950359648,3.1502631479946466,1.1852063178124463,1.0662332900467058,3.706425385988733,0.9577376931038308,0.2628865723006033,2.175795986832277,1.7813272,1.9266155,3.1289673
