,date,ar_h_1,ar_h_2,ar_h_3,Real_obs,r_h_1,r_h_2,r_h_3
0,2016-01-31,0.2012364336225362,0.3297794748486521,1.1602981498076312,0.4077471967380175,-1.0153229917936106,-1.1104998396280013,-0.5199707179222377
1,2016-02-29,0.3779927467897383,0.201232228500139,0.3331754529898503,-0.1010101010100905,1.9769351785443197,0.10935443128072247,0.034053842210784446
2,2016-03-31,-0.0257715602038189,0.382279216684191,0.2012328342882983,0.1003009027081169,-0.667719044383781,-0.27390984899789905,-2.3782305801058374
3,2016-04-30,0.0700352614507958,-0.0368983549401565,0.3816617015162754,-0.2994011976047872,0.14144444123156708,-1.4182567346049701,-1.1192576421066969
4,2016-05-31,-0.2381725557668319,0.0745854798879314,-0.0352528477336389,-0.0994035785288227,0.7460203182217131,0.15205154111065933,-1.6585175589083208
5,2016-06-30,-0.130461873282969,-0.2475519074849884,0.0739013877304378,0.0995024875621863,1.3241284257368142,1.197537806106008,0.7576628036835893
6,2016-07-31,0.0689607163564225,-0.1256387275000732,-0.2461151250248171,0.2973240832507384,0.1384129683163829,-0.0026766439255681007,-0.1251275189786369
7,2016-08-31,0.2672891673109613,0.0736503661329076,-0.1263877298334985,0.2976190476190465,-0.42876489710227306,-1.1855731983024629,-1.3397210817628031
8,2016-09-30,0.2975743305211272,0.2718493174420406,0.0729302764276342,0.5970149253731183,0.5135673374447732,-0.5188561500482534,-1.4362358737993361
9,2016-10-31,0.551626960942191,0.2975811097089247,0.2711569576145758,0.6965174129353269,2.24648030720753,2.1347024484808506,0.22394195173016818
10,2016-11-30,0.6816139011511845,0.5585077080340908,0.2975800819725704,0.8040201005025116,0.32390407977417235,1.0711407374752355,1.0283567503269095
11,2016-12-31,0.7879673316483929,0.6838461535193597,0.5574645971315356,1.6064257028112428,4.694431554715927,2.382499131639046,3.339961707777656
12,2017-01-31,1.4891226085718952,0.7903644009097797,0.6835118061046432,1.7258883248731038,2.331743623984381,3.8777095706132467,1.8031781760826178
13,2017-02-28,1.7092588202416084,1.5062710630175449,0.7900064601024273,2.123356926188058,3.665714966279043,2.4196627144762948,4.23187531160023
14,2017-03-31,2.06875099018008,1.7115736901106602,1.5037641428737802,1.503006012024044,1.6230751628278512,2.3761566471252182,1.1858730126928754
15,2017-04-30,1.5933296885794608,2.076252987161584,1.7112514542636288,2.0020020020020013,3.9690710197616137,3.8151901265865225,4.327196872330039
16,2017-05-31,1.9247891751131767,1.5801784763216669,2.0752223307380357,1.2935323383084452,3.614692164309655,4.806356152614898,4.692347333925756
17,2017-06-30,1.4109729419470192,1.9367368074707572,1.5820933051953945,1.6898608349900537,2.530002580736938,3.2488365283785727,4.324593118703275
18,2017-07-31,1.6214191751365137,1.3915052129957364,1.934888074239458,1.679841897233203,4.466669520097086,4.505538932533748,5.232247576955006
19,2017-08-31,1.6815640062845794,1.6332383121471707,1.394732312131628,1.8793273986152492,2.8083956267701127,4.347482457376189,4.389073673525784
20,2017-09-30,1.8450245575404145,1.6812680008939076,1.631197274568953,1.8793273986152492,2.7094293150518576,2.6804514317994856,4.534182819714908
21,2017-10-31,1.8793273986152492,1.8509231561736648,1.6813188798967424,1.4822134387351804,1.9743831499823374,1.4298403208246098,1.3720047914211433
22,2017-11-30,1.550406003703845,1.8793273986152492,1.8499088534294612,1.6949152542372836,1.7689663536211562,1.2811137287354537,0.8202147786524709
23,2017-12-31,1.6579670890348304,1.5386959496971564,1.8793273986152492,1.4822134387351804,1.3757355735222832,0.5167611151920978,0.014973818838267039
24,2018-01-31,1.5194367707917225,1.6643853084026583,1.5407068047647516,1.4970059880239583,2.7350158816331245,1.6860945252439776,0.7218254341053434
25,2018-02-28,1.494419661488523,1.512922597670441,1.6632704075780071,1.1881188118811892,3.212101862202582,4.101434738036949,2.953715014428193
26,2018-03-31,1.242172945705826,1.4948718543335366,1.5140625937188756,1.6781836130306038,4.669816595601326,4.892697046088252,5.931817464130008
27,2018-04-30,1.5901552309363187,1.2327136686324998,1.494792793021564,1.27576054955838,3.843277458017769,4.99119454728165,5.178308216830465
28,2018-05-31,1.3501606757959006,1.6059674174797365,1.2343690077604976,2.4557956777996104,1.830702580749391,2.1695627258068146,3.0875665902705522
29,2018-06-30,2.219860508359265,1.3364055526764698,1.6031271375911882,2.052785923753664,2.895553114689965,1.8250584479512864,2.247848081565082
30,2018-07-31,2.13593655045659,2.267033175381314,1.3389486049748849,2.235179786200181,3.0012906375923034,3.096334316694205,2.034781883069191
31,2018-08-31,2.1973121174512187,2.1187805718439705,2.2576015144752626,2.1359223300970953,3.4491309951196625,3.725161915750184,3.849824774532358
32,2018-09-30,2.1565656897140704,2.2051740066466494,2.122320263772069,2.233009708737854,3.2430974310793195,3.6102952943836364,4.020927498033136
33,2018-10-31,2.2127936970264455,2.1522723266458774,2.203541761943893,2.6290165530671983,3.5736223587700255,4.205203812469708,4.644590841950192
34,2018-11-30,2.547073234923832,2.217003174460459,2.1531652513818376,2.1568627450980316,2.013139043201922,3.1789982223945294,3.7142772849037735
35,2018-12-31,2.2568963005151907,2.564029273650174,2.216126656355878,1.6553067185978598,1.892286953035973,2.214164936617463,3.4996711976438863
36,2019-01-31,1.757041331987204,2.235702545343674,2.5605206623832224,1.671583087512296,2.5450544428865323,3.134230323261521,3.5590902599796097
37,2019-02-28,1.6683035665592103,1.736405688081775,2.2401927912056454,1.6634050880626194,0.5620980991432132,1.4368187933353262,2.1420223013967163
