date,yoy_rate
1997-01-01,1.4306151645207432
1997-02-01,0.9957325746799528
1997-03-01,0.28328611898016387
1997-04-01,0.4237288135593209
1997-05-01,1.2729844413012614
1997-06-01,1.6973125884017115
1997-07-01,1.5580736543909568
1997-08-01,1.5691868758916039
1997-09-01,2.152080344332852
1997-10-01,2.302158273381294
1997-11-01,2.005730659025806
1997-12-01,2.2889842632331847
1998-01-01,1.6925246826515972
1998-02-01,1.4084507042253502
1998-03-01,1.5536723163841915
1998-04-01,1.5471167369901728
1998-05-01,1.8156424581005748
1998-06-01,1.5299026425591
1998-07-01,1.2552301255229992
1998-08-01,1.2640449438202195
1998-09-01,0.8426966292134797
1998-10-01,0.7032348804500765
1998-11-01,0.7022471910112404
1998-12-01,0.41958041958041203
1999-01-01,0.277392510402219
1999-02-01,0.4166666666666652
1999-03-01,0.4172461752433909
1999-04-01,0.27700831024930483
1999-05-01,-0.6858710562414272
1999-06-01,-1.2328767123287787
1999-07-01,-1.377410468319562
1999-08-01,-1.386962552011095
1999-09-01,-1.392757660167132
1999-10-01,-0.8379888268156388
1999-11-01,-0.9762900976290179
1999-12-01,-0.9749303621169991
2000-01-01,-0.8298755186721962
2000-02-01,-0.4149377593360981
2000-03-01,-0.8310249307479367
2000-04-01,-0.6906077348066253
2000-05-01,-0.4143646408839907
2000-06-01,0.0
2000-07-01,0.41899441340784715
2000-08-01,0.42194092827005925
2000-09-01,0.5649717514124353
2000-10-01,0.28169014084507005
2000-11-01,0.8450704225352101
2000-12-01,1.2658227848101333
2001-01-01,1.5341701534170138
2001-02-01,1.6666666666666607
2001-03-01,2.9329608938547524
2001-04-01,3.616133518776077
2001-05-01,4.715672676837723
2001-06-01,4.9930651872399645
2001-07-01,4.8678720445062496
2001-08-01,4.481792717086819
2001-09-01,4.494382022471921
2001-10-01,4.63483146067416
2001-11-01,3.6312849162011274
2001-12-01,3.472222222222232
2002-01-01,5.494505494505497
2002-02-01,4.508196721311464
2002-03-01,3.663500678426046
2002-04-01,2.550335570469797
2002-05-01,1.059602649006619
2002-06-01,0.26420079260238705
2002-07-01,0.2652519893899141
2002-08-01,0.6702412868632601
2002-09-01,0.6720430107526987
2002-10-01,0.26845637583892135
2002-11-01,0.40431266846361336
2002-12-01,0.26845637583892135
2003-01-01,-0.911458333333337
2003-02-01,0.0
2003-03-01,0.5235602094240788
2003-04-01,0.654450261780104
2003-05-01,0.7863695937090576
2003-06-01,1.5810276679841806
2003-07-01,1.5873015873015817
2003-08-01,1.4647137150466172
2003-09-01,2.136181575433893
2003-10-01,2.409638554216853
2003-11-01,2.550335570469797
2003-12-01,2.409638554216853
2004-01-01,1.182654402102501
2004-02-01,0.39215686274509665
2004-03-01,1.822916666666674
2004-04-01,1.820546163849146
2004-05-01,1.950585175552666
2004-06-01,1.81582360570689
2004-07-01,1.822916666666674
2004-08-01,1.9685039370078705
2004-09-01,1.1764705882353121
2004-10-01,1.0457516339869244
2004-11-01,1.1780104712041828
2004-12-01,3.6601307189542354
2005-01-01,3.2467532467532534
2005-02-01,3.90625
2005-03-01,2.3017902813299296
2005-04-01,2.171136653895278
2005-05-01,2.2959183673469274
2005-06-01,2.292993630573248
2005-07-01,2.1739130434782705
2005-08-01,2.187902187902191
2005-09-01,3.6175710594315236
2005-10-01,3.6222509702457995
2005-11-01,3.751617076326008
2005-12-01,1.6393442622950838
2006-01-01,2.012578616352201
2006-02-01,1.8796992481203034
2006-03-01,1.6249999999999876
2006-04-01,1.8750000000000044
2006-05-01,2.244389027431426
2006-06-01,2.241594022415927
2006-07-01,2.6282853566958586
2006-08-01,3.0226700251889005
2006-09-01,2.244389027431426
2006-10-01,3.121098626716612
2006-11-01,3.2418952618453734
2006-12-01,2.977667493796532
2007-01-01,2.959309494451312
2007-02-01,2.7060270602706105
2007-03-01,2.583025830258312
2007-04-01,3.0674846625766916
2007-05-01,2.4390243902439046
2007-06-01,2.3142509135201106
2007-07-01,2.4390243902439046
2007-08-01,2.8117359413202925
2007-09-01,2.8048780487804903
2007-10-01,3.2687651331719136
2007-11-01,3.864734299516903
2007-12-01,4.09638554216869
2008-01-01,4.550898203592801
2008-02-01,4.79041916167664
2008-03-01,5.27577937649879
2008-04-01,4.880952380952364
2008-05-01,5.000000000000004
2008-06-01,5.119047619047623
2008-07-01,5.238095238095242
2008-08-01,4.875148632580273
2008-09-01,4.507710557532629
2008-10-01,3.5169988276670505
2008-11-01,1.9767441860465196
2008-12-01,1.8518518518518379
2009-01-01,1.2600229095074633
2009-02-01,1.1428571428571344
2009-03-01,0.4555808656036442
2009-04-01,-0.11350737797956034
2009-05-01,-0.6802721088435493
2009-06-01,0.22650056625141968
2009-07-01,-0.6787330316742168
2009-08-01,-1.0204081632653073
2009-09-01,-1.1350737797956922
2009-10-01,-1.3590033975084959
2009-11-01,-0.45610034207526073
2009-12-01,-0.3409090909090917
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,1.0204081632652962
2010-04-01,1.7045454545454586
2010-05-01,1.598173515981749
2010-06-01,0.7909604519773961
2010-07-01,1.7084282460136713
2010-08-01,1.8327605956472093
2010-09-01,1.9517795637198576
2010-10-01,1.9517795637198576
2010-11-01,2.290950744558984
2010-12-01,2.508551881413923
2011-01-01,2.036199095022617
2011-02-01,2.372881355932188
2011-03-01,2.020202020202033
2011-04-01,1.6759776536312776
2011-05-01,2.696629213483148
2011-06-01,2.354260089686089
2011-07-01,2.2396416573348343
2011-08-01,2.5871766029246235
2011-09-01,3.0405405405405483
2011-10-01,3.153153153153143
