date,yoy_rate
1997-01-31,0.44150110375276164
1997-02-28,0.22026431718062955
1997-03-31,0.22026431718062955
1997-04-30,0.22026431718062955
1997-05-31,0.330396475770911
1997-06-30,0.330760749724357
1997-07-31,0.22026431718062955
1997-08-31,0.330760749724357
1997-09-30,0.330396475770911
1997-10-31,0.22002200220021528
1997-11-30,0.3300330033003229
1997-12-31,0.3300330033003229
1998-01-31,0.3296703296703285
1998-02-28,0.439560439560438
1998-03-31,0.3296703296703285
1998-04-30,0.659340659340657
1998-05-31,0.658616904500553
1998-06-30,0.7692307692307665
1998-07-31,0.7692307692307665
1998-08-31,0.7692307692307665
1998-09-30,0.7683863885839859
1998-10-31,0.8781558726674188
1998-11-30,0.8771929824561431
1998-12-31,0.9868421052631415
1999-01-31,0.766703176341732
1999-02-28,0.7658643326039272
1999-03-31,0.8762322015334112
1999-04-30,0.5458515283842891
1999-05-31,0.4362050163576825
1999-06-30,0.32715376226826187
1999-07-31,0.21810250817884125
1999-08-31,0.32715376226826187
1999-09-30,0.21786492374729072
1999-10-31,0.21762785636560977
1999-11-30,0.21739130434783593
1999-12-31,0.10857763300760048
2000-01-31,0.10869565217390686
2000-02-29,-0.10857763300758938
2000-03-31,-0.32573289902280145
2000-04-30,-0.43431053203039083
2000-05-31,-0.5428881650380024
2000-06-30,-0.5434782608695676
2000-07-31,-0.5440696409140355
2000-08-31,-0.8695652173912993
2000-09-30,-0.6521739130434745
2000-10-31,-0.6514657980455918
2000-11-30,-0.7592190889370909
2000-12-31,-0.6507592190889477
2001-01-31,-0.6514657980455918
2001-02-28,-0.5434782608695676
2001-03-31,-0.21786492374727962
2001-04-30,-0.10905125408943173
2001-05-31,0.10917030567687558
2001-06-30,0.21857923497268228
2001-07-31,0.3282275711159688
2001-08-31,0.43859649122806044
2001-09-30,0.4376367614879584
2001-10-31,0.5464480874316946
2001-11-30,0.6557377049180246
2001-12-31,0.6550218340611424
2002-01-31,0.9836065573770592
2002-02-28,1.0928961748633892
2002-03-31,1.091703056768556
2002-04-30,0.9825327510917026
2002-05-31,0.6543075245365237
2002-06-30,0.5452562704471031
2002-07-31,0.21810250817884125
2002-08-31,0.21834061135370675
2002-09-30,0.10893246187364536
2002-10-31,0.0
2002-11-30,-0.10857763300758938
2002-12-31,-0.2169197396963196
2003-01-31,-0.43290043290044045
2003-02-28,-0.540540540540535
2003-03-31,-0.5399568034557212
2003-04-30,-0.648648648648642
2003-05-31,-0.43336944745394623
2003-06-30,-0.4338394793926281
2003-07-31,-0.32644178454843686
2003-08-31,-0.43572984749454813
2003-09-30,-0.10881392818281599
2003-10-31,-0.10869565217390686
2003-11-30,-0.10869565217390686
2003-12-31,-0.21739130434782483
2004-01-31,0.6521739130434634
2004-02-29,0.5434782608695565
2004-03-31,0.6514657980456029
2004-04-30,1.196953210010876
2004-05-31,1.088139281828071
2004-06-30,1.089324618736387
2004-07-31,0.9825327510917026
2004-08-31,1.2035010940919078
2004-09-30,0.8714596949890963
2004-10-31,0.8705114254624613
2004-11-30,0.8705114254624613
2004-12-31,0.8714596949890963
2005-01-31,-0.3239740820734305
2005-02-28,-0.216216216216214
2005-03-31,-0.10787486515643208
2005-04-30,-0.5376344086021501
2005-05-31,-0.43057050592034685
2005-06-30,-0.5387931034482762
2005-07-31,-0.648648648648642
2005-08-31,-0.7567567567567601
2005-09-30,-0.3239740820734305
2005-10-31,-0.3236245954692518
2005-11-30,-0.10787486515643208
2005-12-31,-0.10799136069113979
2006-01-31,-0.325027085590468
2006-02-28,-0.10834236186347823
2006-03-31,0.0
2006-04-30,0.108108108108107
2006-05-31,0.108108108108107
2006-06-30,0.10834236186350044
2006-07-31,0.10881392818280489
2006-08-31,0.10893246187364536
2006-09-30,0.3250270855904569
2006-10-31,0.43290043290042934
2006-11-30,0.4319654427645814
2006-12-31,0.540540540540535
2007-01-31,1.304347826086949
2007-02-28,1.3015184381778733
2007-03-31,1.1879049676025932
2007-04-30,1.2958963282937441
2007-05-31,1.1879049676025932
2007-06-30,1.1904761904761862
2007-07-31,1.304347826086949
2007-08-31,1.4145810663764857
2007-09-30,1.403887688984895
2007-10-31,1.400862068965525
2007-11-30,1.3978494623655857
2007-12-31,1.2903225806451646
2008-01-31,0.5364806866952732
2008-02-29,0.6423982869379063
2008-03-31,0.6403415154749181
2008-04-30,0.5330490405117239
2008-05-31,0.5336179295624355
2008-06-30,0.5347593582887722
2008-07-31,0.32188841201716833
2008-08-31,0.7510729613734002
2008-09-30,0.7454739084131967
2008-10-31,0.8501594048884398
2008-11-30,0.7423117709437932
2008-12-31,0.7430997876857859
2009-01-31,0.8537886872998834
2009-02-28,1.276595744680864
2009-03-31,1.3785790031813239
2009-04-30,1.4846235418876086
2009-05-31,1.4861995753715496
2009-06-30,1.382978723404249
2009-07-31,1.2834224598930577
2009-08-31,1.2779552715654896
2009-09-30,1.2684989429175397
2009-10-31,1.264488935721797
2009-11-30,0.6315789473684053
2009-12-31,1.1591148577449806
2010-01-31,0.6349206349206327
2010-02-28,0.5252100840336116
2010-03-31,0.313807531380772
2010-04-30,0.31347962382444194
2010-05-31,0.313807531380772
2010-06-30,0.41972717733473885
2010-07-31,0.31678986272438703
2010-08-31,0.3154574132492316
2010-09-30,0.41753653444676075
2010-10-31,0.41623309053069324
2010-11-30,1.1506276150627714
2010-12-31,0.6249999999999867
2011-01-31,0.525762355415349
2011-02-28,0.4179728317659226
2011-03-31,1.0427528675703845
2011-04-30,1.041666666666674
2011-05-31,1.147028154327412
2011-06-30,0.8359456635318674
