date,ar_h_1,ar_h_2,ar_h_3,Real_obs
2016-01-31,0.19685943491992158,0.19279318448135888,1.1375617391694643,0.4077471967380175
2016-02-29,0.39896296882153026,0.19260557647145385,0.18862408313312273,-0.10101010101009056
2016-03-31,-0.09880484921329336,0.3903679823289108,0.18844363798459202,0.10030090270811698
2016-04-30,0.09810940758254297,-0.09664774245782021,0.38195816037180325,-0.29940119760478723
2016-05-31,-0.29284187574376136,0.09596579488629656,-0.09453772964147614,-0.09940357852882276
2016-06-30,-0.0972191274171406,-0.2864262563916791,0.09386901842629633,0.09950248756218638
2016-07-31,0.09731420787819962,-0.09508268088165132,-0.28015119129457244,0.29732408325073845
2016-08-31,0.29079589518303894,0.09517405330236514,-0.09299318399403761,0.29761904761904656
2016-09-30,0.2910894172169199,0.2844110430973471,0.09308096545715851,0.5970149253731183
2016-10-31,0.58399047964307,0.2847030440207062,0.2781663798411107,0.6965174129353269
2016-11-30,0.6813932001665274,0.571250174525535,0.2784567850306057,0.8040201005025116
2016-12-31,0.7866625642187636,0.6665973952847783,0.558787811224084,1.6064257028112428
2017-01-31,1.5730200931933016,0.769679749991906,0.6521228672253476,1.7258883248731038
2017-02-28,1.690568131209104,1.540309152959692,0.7530635681588886,2.123356926188058
2017-03-31,2.080087791717543,1.6559707630387839,1.508278436466133,1.503006012024044
2017-04-30,1.4712664222226188,2.0377003827707667,1.6220814277848636,2.0020020020020013
2017-05-31,1.9617234480781078,1.4401970902596213,1.9961767318078483,1.2935323383084452
2017-06-30,1.2652475149039624,1.9222552639263613,1.4097838620274277,1.6898608349900535
2017-07-31,1.654085331182936,1.2375811771850165,1.88358114560574,1.679841897233203
2017-08-31,1.6443947505930583,1.6190672191362239,1.2105198011306955,1.8793273986152492
2017-09-30,1.840620335467544,1.6096955911337296,1.5847904643509532,1.8793273986152492
2017-10-31,1.8408171235045663,1.80271049197333,1.5757286352202646,1.4822134387351804
2017-11-30,1.4505867599610496,1.8030959824692943,1.7655814484116512,1.6949152542372836
2017-12-31,1.6595303164199031,1.4196349143682556,1.766147804952687,1.4822134387351804
2018-01-31,1.4507272957622075,1.624884113958883,1.3893435027267724,1.4970059880239583
2018-02-28,1.465353084787642,1.4199100019397055,1.5909612241924809,1.1881188118811892
2018-03-31,1.1623866789984216,1.4343694549485617,1.389747349138515,1.6781836130306038
