,prc_neig,xgb_neig,ols_neig,ridge_neig,lasso_neig,cb_ridge_prc_neig,cb_ridge_prc_lasso_neig,cb_ridge_lasso_neig,xgb_pca_neig
h_1,0.5666848861488682,1.225696858874485,0.5983252361090404,0.58229480794593,0.8735308143451194,0.5644258935084933,0.6294373608954202,0.6915354844252445,1.1557758879447413
h_2,0.8784298790545563,1.4519154548477244,0.8740768811407272,0.6527984495208058,0.9296292604507121,0.7482784957558664,0.7857350756414176,0.7703102470875259,1.2216164697458922
h_3,1.051902949675736,1.2574516908219668,1.0710620733831246,0.7205192241607158,0.9504977747131068,0.8662686461351241,0.8786181524184535,0.8232563864138663,1.1733923081126076
