,prc_energy,ridge_energy,lasso_energy,xgb_energy,cb_ridge_lasso_energy,cb_ridge_pcr_energy,cb_ridge_prc_lasso_energy,ar_1_energy
h_1,3.594231280562507,3.8619908121461557,3.7717140422858835,3.9480843936806815,3.8144445124244433,3.8619908121461557,3.6771680859081464,3.3314702295621155
h_2,5.227101906180821,5.586439902433811,5.381704415438454,4.729136052378008,5.476780783983272,5.586439902433811,5.303654738497096,4.944986223927973
h_3,6.445925038719541,6.749959921559388,6.472578114231764,5.081468346898485,6.586029504515242,6.749959921559388,6.462448929302115,6.269530857730388
