,ar_110,ar_ols,ar_1,prc,xgb,ridge,lasso,cb_ridge_pcr,cb_ridge_prc_lasso,cb_ridge_lasso,xgb_pca
h_1,0.6263846500329399,0.6963702394672786,0.6662861050208534,0.59505789421854,1.1086207827945613,0.6045770841371426,0.6255650040266938,0.6045770841371426,0.5842463515418228,0.6013469562535282,0.9808019793960009
h_2,0.8831245891499063,1.0758710610953506,1.013741987964484,0.8656488182497742,1.2994816035439294,0.7563729603630303,0.8192261223555998,0.7563729603630303,0.7804012640490506,0.7661792301299006,1.4275364706396918
h_3,1.1167685836017653,1.4315664948417037,1.3374572735725252,1.0802427318781185,1.1901406231947593,0.9283307707369304,1.0124018798690226,0.9283307707369304,0.9745717536734384,0.9529097658067032,1.3242653483628335
