,prc_services,ridge_services,lasso_services,xgb_services,cb_ridge_lasso_services,cb_ridge_pcr_services,cb_ridge_prc_lasso_services,ar_1_services,xgb_pca_services
h_1,0.5964206355087972,0.6534727624780515,0.649933615847702,0.7159428419594254,0.6474027625168306,0.6534727624780515,0.6023026844813524,0.6483255456475437,0.6799060641233823
h_2,0.6537542834411632,0.6575767366799873,0.6653429169307202,0.6937026766166113,0.647690989610919,0.6575767366799873,0.6169278495154938,0.6971950395633331,0.6884264539692138
h_3,0.7462058906001844,0.6923114998823258,0.699691420553829,0.6941482343331019,0.6819300880683916,0.6923114998823258,0.6697924539916511,0.8333178960347892,0.6433005141609198
