number,mae,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_num_boosted_rounds,params_subsample
947,0.4748709350824356,0.103977,0.29429009619425234,0.5688587991023749,0.2471527250643103,0.28946839361651155,4,52,0.7199919360922407
963,0.47588013609250385,0.107981,0.2883809811787032,0.5634950268234885,0.2738105109627094,0.2586564424120739,4,68,0.6907079965271885
830,0.4760387639204661,0.101179,0.2861023901425627,0.5666367029301316,0.2677390824217757,0.2881654805349411,4,24,0.6773018824062762
853,0.47655458251635235,0.096361,0.3078384328967209,0.5306474789225919,0.3420171067110099,0.29030334494119164,3,46,0.6754658089854815
840,0.47751930852731067,0.097408,0.28448610372791233,0.5741997427978465,0.2648063827136615,0.28547931129607845,3,37,0.5905595493437142
796,0.48151026169459027,0.091052,0.24498995911593566,0.5555922358175198,0.293788791431565,0.2736286116580929,3,35,0.7150605307699206
806,0.4820019255081813,0.093039,0.27922130714939053,0.5545145543183599,0.2727273351188742,0.2779675574250358,3,35,0.6823742381694624
715,0.4822743932406108,0.087881,0.2139865487166462,0.6003408133365212,0.3194944298164945,0.27642725908415977,3,26,0.7128973641380381
849,0.4826061427593231,0.097795,0.3131759100899055,0.5489226176978822,0.32910514083437237,0.2946046603431159,4,47,0.6854370330497553
920,0.4831058184305827,0.10135,0.2634508478141373,0.5402977244268635,0.287050963328669,0.2903206595288749,3,44,0.6858401147628527
942,0.4831639329592387,0.100322,0.3126722090755817,0.5499911533396615,0.22119451990213507,0.2788246674895289,3,48,0.6809261316630847
917,0.48368553817272186,0.097287,0.26526634131619414,0.5478311732016188,0.3288092522123923,0.28153587083328724,3,42,0.6821177768204401
757,0.4845404277245204,0.091259,0.2799331250971894,0.5417181983327235,0.27656997914122944,0.28002738321592585,3,25,0.675950777284015
747,0.48543257017930347,0.086404,0.2553441742070688,0.557150926350678,0.28326348383700184,0.26432800643879323,4,26,0.6728028000163349
477,0.48744847377141315,0.079015,0.17779210745927912,0.5896235873995762,0.33394140326204885,0.282977895018978,3,18,0.7244082946682816
908,0.4877739002307256,0.098504,0.29454549858298373,0.5607598528561809,0.06564599845007218,0.2841652032360299,3,49,0.7136380878059849
607,0.48795825242996216,0.077452,0.20336181841349407,0.5442000794798674,0.3008272214090483,0.29425098048536447,3,26,0.6544707587335374
879,0.4884909987449646,0.096593,0.280350174617009,0.5739499931650982,0.2841239300968629,0.28875146344155894,3,47,0.7004864502452235
678,0.4886038303375244,0.090762,0.25877176685406555,0.5394065027917823,0.3027180047971601,0.2997884692522938,4,22,0.6895526047013508
483,0.49152777592341107,0.069892,0.2393578631980147,0.5891612577865588,0.26195939626669107,0.28357598999442973,3,25,0.7109144796230666
471,0.4941019614537557,0.073294,0.2143116628500974,0.625445254525282,0.2917266798515014,0.2649682367712908,3,21,0.7154979281730433
