number,mae,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_num_boosted_rounds,params_subsample
874,0.47105541825294495,0.141757,0.19379653127077315,0.8116376960223745,0.19325061072072597,0.269101529695349,9,53,0.7133305079903808
785,0.47333242495854694,0.113961,0.24929196300280249,0.8409238897602842,0.5444771878457628,0.22831836884018752,13,97,0.7502513263451215
796,0.4740130801995595,0.101845,0.28356647276379154,0.8427578252976874,0.6592511625593919,0.24683762156341627,7,91,0.7643068052853792
823,0.4741034209728241,0.10612,0.21580544444993074,0.7883626843829648,0.2931639954440772,0.2754298559351561,9,47,0.7148985036495077
531,0.47430717945098877,0.083769,0.26672348939312557,0.7424820481316208,0.5103593887428872,0.231371122505044,13,10,0.692317949954256
938,0.4747234086195628,0.11745,0.20831586708070404,0.8287444437468978,0.1879079924228404,0.2714990946019191,8,55,0.7268781466126872
699,0.47521325945854187,0.10066,0.2500432930978673,0.8751859046265943,0.17525214401604192,0.27477939827214587,12,98,0.748897928771195
952,0.4761699090401332,0.108756,0.23422287943114145,0.8447167786220188,0.2887062198820325,0.276999010382629,9,61,0.7436313962286236
509,0.47657665113608044,0.086255,0.27109936181908223,0.7558960669433805,0.13544068208053908,0.27605270226308226,12,98,0.7061696494607481
943,0.47746508320172626,0.11993,0.21837846556524254,0.7911964552338948,0.24788158545967987,0.2600623307852761,10,55,0.738463779537403
864,0.477642297744751,0.110078,0.22933553802582776,0.8163560925761529,0.14446319712498015,0.263323117478179,8,49,0.7347627107964627
858,0.47778626283009845,0.112983,0.2096578268455372,0.8069822295217763,0.18142471503369054,0.27142224689186717,8,56,0.7156555111496914
937,0.4778783867756526,0.111668,0.22461395416954716,0.8084641523002761,0.14529745896259533,0.2803087862948599,7,51,0.7711178310799521
670,0.4783291469017665,0.091122,0.29047444818588164,0.6208821281625676,0.6237718879253922,0.29479148685284196,12,98,0.7601602808814641
936,0.47851627071698505,0.110222,0.24098960922488624,0.821135687741275,0.2229268945965821,0.25923852365915845,8,46,0.7495292449058002
510,0.4785969754060109,0.089109,0.026857026391166383,0.867110066560489,0.5308805588136911,0.2465110925209939,13,92,0.7654796201131165
